sample_id,center_id,batch
TCGA-QU-A6IL,QU,12
TCGA-G9-6377,G9,5
TCGA-HC-7211,HC,6
TCGA-J4-A67S,J4,8
TCGA-CH-5743,CH,2
TCGA-KK-A8I5,KK,11
TCGA-HC-7231,HC,6
TCGA-VP-A87B,VP,16
TCGA-G9-7521,G9,5
TCGA-HC-A6HY,HC,6
TCGA-KK-A7AV,KK,11
TCGA-EJ-8468,EJ,3
TCGA-XK-AAJP,XK,19
TCGA-KK-A8IL,KK,11
TCGA-VP-A87K,VP,16
TCGA-HC-8262,HC,6
TCGA-HC-7742,HC,6
TCGA-EJ-5524,EJ,3
TCGA-EJ-7786,EJ,3
TCGA-ZG-A9L2,ZG,22
TCGA-EJ-7793,EJ,3
TCGA-KK-A7AW,KK,11
TCGA-G9-6353,G9,5
TCGA-KK-A7B4,KK,11
TCGA-V1-A8WW,V1,14
TCGA-CH-5767,CH,2
TCGA-J4-A83M,J4,8
TCGA-VN-A88R,VN,15
TCGA-YL-A8SB,YL,21
TCGA-XQ-A8TA,XQ,20
TCGA-ZG-A8QX,ZG,22
TCGA-2A-A8W3,2A,1
TCGA-G9-6499,G9,5
TCGA-G9-6373,G9,5
TCGA-G9-6498,G9,5
TCGA-J9-A8CL,J9,9
TCGA-YL-A8HM,YL,21
TCGA-V1-A9Z7,V1,14
TCGA-HC-A76W,HC,6
TCGA-FC-A8O0,FC,4
TCGA-EJ-A46G,EJ,3
TCGA-HC-8260,HC,6
TCGA-EJ-5509,EJ,3
TCGA-EJ-5508,EJ,3
TCGA-2A-A8VV,2A,1
TCGA-EJ-8469,EJ,3
TCGA-J4-A83N,J4,8
TCGA-CH-5739,CH,2
TCGA-KK-A7B0,KK,11
TCGA-KK-A7B2,KK,11
TCGA-CH-5792,CH,2
TCGA-KK-A8I7,KK,11
TCGA-V1-A9O5,V1,14
TCGA-KC-A4BR,KC,10
TCGA-XJ-A9DI,XJ,18
TCGA-HC-7210,HC,6
TCGA-G9-A9S4,G9,5
TCGA-EJ-5505,EJ,3
TCGA-EJ-7331,EJ,3
TCGA-EJ-5498,EJ,3
TCGA-M7-A722,M7,3
TCGA-XK-AAJR,XK,19
TCGA-EJ-5530,EJ,3
TCGA-2A-A8VL,2A,1
TCGA-EJ-A7NH,EJ,3
TCGA-VP-A878,VP,16
TCGA-ZG-A9LS,ZG,22
TCGA-KC-A4BV,KC,10
TCGA-KK-A8I6,KK,11
TCGA-EJ-5521,EJ,3
TCGA-YL-A8HJ,YL,21
TCGA-ZG-A9L9,ZG,22
TCGA-J4-8200,J4,8
TCGA-KK-A8I4,KK,11
TCGA-V1-A9O7,V1,14
TCGA-CH-5769,CH,2
TCGA-EJ-7788,EJ,3
TCGA-H9-7775,H9,3
TCGA-YL-A8SI,YL,21
TCGA-XJ-A83H,XJ,18
TCGA-V1-A8WS,V1,14
TCGA-J4-A6G3,J4,8
TCGA-KK-A6DY,KK,11
TCGA-EJ-8474,EJ,3
TCGA-G9-6362,G9,5
TCGA-G9-6356,G9,5
TCGA-ZG-A9LZ,ZG,22
TCGA-EJ-8472,EJ,3
TCGA-HC-8256,HC,6
TCGA-EJ-5527,EJ,3
TCGA-HC-7821,HC,6
TCGA-HI-7171,HI,7
TCGA-XK-AAIW,XK,19
TCGA-KK-A59X,KK,11
TCGA-HC-8259,HC,6
TCGA-HC-7080,HC,6
TCGA-G9-7510,G9,5
TCGA-G9-7509,G9,5
TCGA-YJ-A8SW,YJ,3
TCGA-EJ-7782,EJ,3
TCGA-YL-A9WJ,YL,21
TCGA-CH-5791,CH,2
TCGA-HC-7738,HC,6
TCGA-HC-8265,HC,6
TCGA-XQ-A8TB,XQ,20
TCGA-YL-A8S8,YL,21
TCGA-HC-7230,HC,6
TCGA-KK-A8II,KK,11
TCGA-J4-A67R,J4,8
TCGA-CH-5745,CH,2
TCGA-KK-A7B3,KK,11
TCGA-EJ-AB27,EJ,3
TCGA-X4-A8KQ,X4,17
TCGA-VP-A875,VP,16
TCGA-EJ-7791,EJ,3
TCGA-KK-A6E1,KK,11
TCGA-HC-8266,HC,6
TCGA-HI-7170,HI,7
TCGA-G9-6363,G9,5
TCGA-HC-8257,HC,6
TCGA-KK-A6E3,KK,11
TCGA-V1-A9ZI,V1,14
TCGA-ZG-A9L4,ZG,22
TCGA-EJ-8470,EJ,3
TCGA-KK-A7AQ,KK,11
TCGA-EJ-A65F,EJ,3
TCGA-YL-A8SC,YL,21
TCGA-CH-5752,CH,2
TCGA-V1-A8MM,V1,14
TCGA-KK-A8ID,KK,11
TCGA-KK-A6E8,KK,11
TCGA-EJ-A65J,EJ,3
TCGA-KK-A8IC,KK,11
TCGA-EJ-A6RA,EJ,3
TCGA-YL-A9WX,YL,21
TCGA-YL-A9WY,YL,21
TCGA-X4-A8KS,X4,17
TCGA-EJ-5512,EJ,3
TCGA-J9-A52B,J9,9
TCGA-EJ-7785,EJ,3
TCGA-VP-A87J,VP,16
TCGA-HC-7213,HC,6
TCGA-HC-8216,HC,6
TCGA-EJ-A8FP,EJ,3
TCGA-EJ-5526,EJ,3
TCGA-TP-A8TV,TP,13
TCGA-HC-A9TE,HC,6
TCGA-V1-A8WV,V1,14
TCGA-VP-A87E,VP,16
TCGA-VP-A879,VP,16
TCGA-HC-7749,HC,6
TCGA-G9-6339,G9,5
TCGA-KK-A6E0,KK,11
TCGA-KK-A8IM,KK,11
TCGA-G9-6371,G9,5
TCGA-ZG-A8QW,ZG,22
TCGA-HC-A6AN,HC,6
TCGA-J4-A67Q,J4,8
TCGA-J4-A6M7,J4,8
TCGA-QU-A6IP,QU,12
TCGA-V1-A9OF,V1,14
TCGA-HC-7212,HC,6
TCGA-KK-A8IG,KK,11
TCGA-G9-7522,G9,5
TCGA-KK-A5A1,KK,11
TCGA-G9-A9S7,G9,5
TCGA-KK-A8I8,KK,11
TCGA-KK-A8IF,KK,11
TCGA-KK-A8I9,KK,11
TCGA-HC-7750,HC,6
TCGA-HC-7748,HC,6
TCGA-FC-7961,FC,4
TCGA-J9-A8CN,J9,9
TCGA-YL-A8S9,YL,21
TCGA-TP-A8TT,TP,13
TCGA-V1-A9O9,V1,14
TCGA-ZG-A9LY,ZG,22
TCGA-V1-A9ZR,V1,14
TCGA-VP-A87D,VP,16
TCGA-VN-A88L,VN,15
TCGA-XK-AAK1,XK,19
TCGA-YL-A8HO,YL,21
TCGA-KC-A7F5,KC,10
TCGA-EJ-5511,EJ,3
TCGA-EJ-A65M,EJ,3
TCGA-EJ-5525,EJ,3
TCGA-YL-A9WK,YL,21
TCGA-EJ-5522,EJ,3
TCGA-V1-A9OT,V1,14
TCGA-EJ-7797,EJ,3
TCGA-KK-A7AY,KK,11
TCGA-J4-AATZ,J4,8
TCGA-SU-A7E7,SU,3
TCGA-EJ-A46I,EJ,3
TCGA-2A-A8W1,2A,1
TCGA-EJ-A7NN,EJ,3
TCGA-KK-A7AU,KK,11
TCGA-EJ-A65D,EJ,3
TCGA-V1-A9Z9,V1,14
TCGA-EJ-5504,EJ,3
TCGA-EJ-5516,EJ,3
TCGA-QU-A6IM,QU,12
TCGA-2A-AAYU,2A,1
TCGA-Y6-A9XI,Y6,3
TCGA-HC-A6AQ,HC,6
TCGA-V1-A8WL,V1,14
TCGA-G9-6332,G9,5
TCGA-XJ-A9DX,XJ,18
TCGA-J9-A8CM,J9,9
TCGA-J4-A67N,J4,8
TCGA-KC-A4BL,KC,10
TCGA-KK-A6E7,KK,11
TCGA-HC-7081,HC,6
TCGA-FC-7708,FC,4
TCGA-ZG-A9L6,ZG,22
TCGA-EJ-5518,EJ,3
TCGA-KK-A6E2,KK,11
TCGA-V1-A9OA,V1,14
TCGA-G9-A9S0,G9,5
TCGA-HC-A631,HC,6
TCGA-V1-A9OL,V1,14
TCGA-EJ-7330,EJ,3
TCGA-ZG-A9L1,ZG,22
TCGA-2A-A8VO,2A,1
TCGA-EJ-7792,EJ,3
TCGA-J9-A8CK,J9,9
TCGA-J9-A52E,J9,9
TCGA-HC-A9TH,HC,6
TCGA-CH-5790,CH,2
TCGA-V1-A8MU,V1,14
TCGA-G9-6364,G9,5
TCGA-EJ-A46F,EJ,3
TCGA-CH-5794,CH,2
TCGA-G9-6369,G9,5
TCGA-HI-7168,HI,7
TCGA-CH-5750,CH,2
TCGA-XK-AAJA,XK,19
TCGA-EJ-7781,EJ,3
TCGA-FC-A5OB,FC,4
TCGA-EJ-A46B,EJ,3
TCGA-KK-A8IJ,KK,11
TCGA-HC-7232,HC,6
TCGA-EJ-5501,EJ,3
TCGA-YL-A8HK,YL,21
TCGA-EJ-7328,EJ,3
TCGA-YL-A9WL,YL,21
TCGA-EJ-A8FS,EJ,3
TCGA-G9-6379,G9,5
TCGA-HC-A6AP,HC,6
TCGA-J9-A8CP,J9,9
